protein,degree,clustering_coefficient,betweenness_centrality,closeness_centrality,pagerank,drug_target
OXTR,26,0.23692307692307693,0.0003431103275072404,0.2993398279814238,9.830762598192396e-05,1
AVPR1B,14,0.4945054945054945,2.754365507017799e-07,0.27084244973828214,6.732747521993412e-05,1
AVPR1A,16,0.35833333333333334,3.2855645690855173e-06,0.2709156998937219,7.3244608324477e-05,1
ACKR3,18,0.5490196078431373,1.9334662157298158e-05,0.29359324726898106,5.660830668738978e-05,0
ASPDH,12,1.0,0.0,0.2555319508066214,5.4437539163473735e-05,0
NAT8L,19,0.7076023391812866,1.2237252466893364e-05,0.2653187128478444,9.07307308841945e-05,0
ASRGL1,17,0.8529411764705882,0.0,0.2617688348595491,8.66846434099757e-05,1
ACY3,2,1.0,0.0,0.21954342831153406,2.487507432899042e-05,0
ACY1,12,0.21212121212121213,0.0003810074457779049,0.2595172932866231,9.625062867493962e-05,1
FOLH1,23,0.10276679841897234,0.0013311415666551634,0.3029245192805844,0.0001603627859228453,1
RIMKLA,4,1.0,0.0,0.2413528335478596,3.396334343643324e-05,0
SYN3,17,0.6176470588235294,0.0001841834377523134,0.2690239829077579,7.335381322575605e-05,0
SNAP25,79,0.25089256734826354,0.0017731834567639938,0.2972171024410398,0.00034347150761734977,1
SYN1,39,0.26180836707152494,0.000882098669648674,0.29322369895118455,0.00016413941982389542,0
RAB3A,23,0.5019762845849802,0.00010190332624326862,0.2818941326458524,0.00011257771625386876,0
VAMP2,76,0.2964912280701754,0.002683468466767818,0.3113707377318195,0.0003151483276786086,1
SYT1,50,0.1836734693877551,0.0011338198054343751,0.2970584503297757,0.00022094779072980074,0
SLC18A1,9,0.4444444444444444,3.178832905688578e-05,0.2605161895287604,6.247971367263631e-05,1
SLC18A3,15,0.3904761904761905,4.127121601676134e-05,0.2596249126187794,8.902626525029715e-05,0
SLC17A8,9,0.8055555555555556,1.1804423601504852e-07,0.2441410675985953,5.6234749601277335e-05,0
SLC17A6,19,0.3567251461988304,0.0001968174500124796,0.27527089869662996,9.46527186032629e-05,0
SLC17A7,34,0.28342245989304815,0.0003902935923444221,0.281426869797448,0.0001543139909687649,0
SNCA,92,0.10559006211180125,0.003674342604599768,0.3430868926112397,0.00035089853977168193,1
PITX3,3,1.0,0.0,0.24399834373192297,2.653655065462434e-05,0
SLC29A4,8,0.17857142857142858,7.424982445346553e-05,0.22525540822060638,6.465899209361031e-05,1
POPDC2,1,0.0,0.0,0.21059829714223413,2.3412895315908785e-05,0
PIEZO1,6,0.2,0.00016969514728474422,0.25598252079041106,4.375848074883301e-05,0
KCNK4,5,0.5,1.813454575781183e-05,0.2196300730901876,5.701726922513359e-05,0
KCNK10,5,0.7,1.1804423601504852e-07,0.22206943343908764,6.112408105145729e-05,0
BVES,1,0.0,0.0,0.21059829714223413,2.325664715871435e-05,0
SPTBN4,22,0.45454545454545453,0.00011750811844314684,0.2596652928835929,0.00011263938994241763,0
NRXN2,38,0.23897581792318634,0.0006895996712704116,0.2799638905413741,0.0002099857157352369,0
NRXN1,55,0.1569023569023569,0.0022381326506231832,0.2866617446076684,0.00036016142725414174,1
CYB5A,25,0.19,0.0007386126217658266,0.28072493914666274,0.00014898339905778174,1
CYB5B,19,0.24561403508771928,0.0002006850382452504,0.278818381817863,9.902274914265765e-05,0
